"""20 Microns Limited""","""20MICRONS"""
"""3i Infotech Limited""","""3IINFOTECH"""
"""3M India Limited""","""3MINDIA"""
"""63 moons technologies limited""","""63MOONS"""
"""8K Miles Software Services Limited""","""8KMILES"""
"""A2Z Infra Engineering Limited""","""A2ZINFRA"""
"""Aarti Drugs Limited""","""AARTIDRUGS"""
"""Aarti Industries Limited""","""AARTIIND"""
"""Aarvee Denims & Exports Limited""","""AARVEEDEN"""
"""Aban Offshore Limited""","""ABAN"""
"""ABB India Limited""","""ABB"""
"""Abbott India Limited""","""ABBOTINDIA"""
"""Aditya Birla Fashion and Retail Limited""","""ABFRL"""
"""ABG Shipyard Limited""","""ABGSHIP"""
"""ABM International Limited""","""ABMINTLTD"""
"""ACC Limited""","""ACC"""
"""Accelya Kale Solutions Limited""","""ACCELYA"""
"""Action Construction Equipment Limited""","""ACE"""
"""Adani Enterprises Limited""","""ADANIENT"""
"""Adani Ports and Special Economic Zone Limited""","""ADANIPORTS"""
"""Adani Power Limited""","""ADANIPOWER"""
"""Adani Transmission Limited""","""ADANITRANS"""
"""ADF Foods Limited""","""ADFFOODS"""
"""Adhunik Metaliks Limited""","""ADHUNIK"""
"""Adhunik Industries Limited""","""ADHUNIKIND"""
"""Adlabs Entertainment Limited""","""ADLABS"""
"""Ador Welding Limited""","""ADORWELD"""
"""Allied Digital Services Limited""","""ADSL"""
"""Advani Hotels & Resorts (India) Limited""","""ADVANIHOTR"""
"""Advanced Enzyme Technologies Limited""","""ADVENZYMES"""
"""Aegis Logistics Limited""","""AEGISCHEM"""
"""Accel Frontline Limited""","""AFL"""
"""Agarwal Industrial Corporation Limited""","""AGARIND"""
"""AGC Networks Limited""","""AGCNET"""
"""Agri-Tech (India) Limited""","""AGRITECH"""
"""Asian Hotels (East) Limited""","""AHLEAST"""
"""Ahluwalia Contracts (India) Limited""","""AHLUCONT"""
"""Asian Hotels (West) Limited""","""AHLWEST"""
"""AIA Engineering Limited""","""AIAENG"""
"""AI Champdany Industries Limited""","""AICHAMP"""
"""Ashapura Intimates Fashion Limited""","""AIFL"""
"""Ajanta Pharma Limited""","""AJANTPHARM"""
"""Ajmera Realty & Infra India Limited""","""AJMERA"""
"""AksharChem India Limited""","""AKSHARCHEM"""
"""Aksh Optifibre Limited""","""AKSHOPTFBR"""
"""Akzo Nobel India Limited""","""AKZOINDIA"""
"""Alankit Limited""","""ALANKIT"""
"""Albert David Limited""","""ALBERTDAVD"""
"""Allahabad Bank""","""ALBK"""
"""Alchemist Limited""","""ALCHEM"""
"""Alembic Limited""","""ALEMBICLTD"""
"""Alicon Castalloy Limited""","""ALICON"""
"""Alkali Metals Limited""","""ALKALI"""
"""Alkem Laboratories Limited""","""ALKEM"""
"""Alkyl Amines Chemicals Limited""","""ALKYLAMINE"""
"""Allcargo Logistics Limited""","""ALLCARGO"""
"""Allsec Technologies Limited""","""ALLSEC"""
"""Almondz Global Securities Limited""","""ALMONDZ"""
"""Alok Industries Limited""","""ALOKTEXT"""
"""Alpa Laboratories Limited""","""ALPA"""
"""Alphageo (India) Limited""","""ALPHAGEO"""
